Автор,Место работы автора,Специализация адресата,Содержание,Примечание,Количество слов
74,110,5,240,0,9
651,829,5,3514,0,15
1646,152,5,758,0,16
274,844,1,3714,0,10
99,1256,5,3675,0,11
1127,488,1,3714,0,10
1178,848,5,1315,0,9
1435,1330,9,2825,0,5
221,782,5,1419,0,3
1675,829,5,2336,0,15
25,1043,3,3195,151,9
1007,1382,1,15,0,4
1649,383,5,1577,0,6
810,123,5,3194,0,14
1327,1315,9,2825,0,5
185,519,10,3445,0,6
1640,537,10,3445,0,6
270,20,5,1842,0,14
197,499,10,789,0,10
288,737,10,3445,0,6
539,514,10,3445,0,6
140,1277,5,3238,155,14
1314,452,10,541,0,4
763,756,5,3481,0,15
1071,730,10,173,0,5
1232,829,5,1835,220,20
751,812,10,3445,0,6
1045,1234,1,3709,0,8
509,1125,3,1304,0,10
1689,1437,5,1523,0,11
1149,1365,1,3369,0,4
248,829,5,20,0,6
1756,1078,1,3710,0,12
230,1464,10,374,0,9
649,249,1,3709,0,8
506,753,1,3720,0,6
1725,1462,5,3584,0,6
457,1166,5,3184,0,9
356,1057,1,1515,0,8
32,410,10,1714,0,6
1151,328,10,2223,0,23
1052,669,1,1213,0,6
746,798,10,1746,0,8
1433,653,1,1521,0,8
1655,450,10,1193,0,7
752,750,10,1368,0,10
313,724,5,7,0,10
20,222,9,369,0,10
441,1227,9,11,0,9
1625,828,5,2296,0,9
26,284,10,1378,0,11
1232,829,5,1834,0,16
1153,720,5,12,0,8
623,876,1,3709,0,8
366,871,1,3709,0,8
10,1118,5,1841,0,7
326,784,10,3445,0,6
1232,829,5,3517,0,19
376,600,10,1583,0,7
50,476,5,348,0,23
608,48,5,2863,0,4
1402,526,1,3714,0,10
870,896,5,3533,0,16
919,54,9,2724,0,6
732,217,5,1179,0,7
1395,1386,10,1579,0,6
1649,383,10,2101,0,7
658,63,5,1076,0,14
658,63,5,1777,0,7
658,63,5,1073,0,12
658,63,5,1880,0,6
658,63,5,1846,0,14
658,63,5,1954,0,8
658,63,5,1956,0,14
658,63,5,1843,0,7
720,336,10,1529,0,7
593,949,1,2015,0,7
1690,694,9,603,0,10
1690,694,9,602,0,9
839,1115,1,3719,0,9
389,127,9,2775,0,5
1526,728,1,3365,0,5
1215,782,10,3141,0,3
363,751,1,1520,0,7
415,1041,1,1618,0,6
1025,846,1,3368,0,5
