Автор,Место работы автора,Адресат,Специализация адресата,Содержание,Примечание
Антонова С.В.,АО «Интерфакс»,Уразов Р.Н.,Генеральный директор,возможн использован сетев издан информацион ресурс спарк работ союз, 
Картошкин С.А.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,участ совещан вопрос доработк фэ предоставлен субсид реализац проект билет будущ 9 апр 2019 г, 
Цивилев С.Е.,Администрация Кемеровской области,Уразов Р.Н.,Генеральный директор,командирован саликов к. глушк д. участ заседан оргкомитет вопрос проведен фнч кемеровск област 22 апр 2019, 
Волков Г.А.,Министерство транспорта Российской Федерации,Иванюк Л.А.,Административный директор,участ чемпионат мир профессиональн мастерств стандарт ворлдскиллс WorldSkills Kazan 2019, 
Атанов И.В.,Ставропольский государственный аграрный университет,Уразов Р.Н.,Генеральный директор,участ церемон открыт вузовск чемпионат 15 апр 2019 14.00 г. ставропол, 
Островский А.В.,Губернатор Смоленской области,Миронова С.В.,Административный директор,участ чемпионат мир профессиональн мастерств стандарт ворлдскиллс WorldSkills Kazan 2019, 
Петрова С.В.,Министерство труда и социальной защиты РФ,Уразов Р.Н.,Генеральный директор,направлен протокол ход реализац национальн проект демограф субъект росс, 
Соппа И.В.,"ФГБОУ ВО ""Московский политехнический университет""",Тымчиков А.Ю.,Сертификация экспертов WS,согласован дат проведен вузовск чемпионат, 
Бурганов Р.Т.,Министерство образования и науки Республики Татарстан,Уразов Р.Н.,Генеральный директор,национальн чемпионат 2019, 
Черноскутова И.А.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,проведен заседан министр образован государств-участник международн программм укреплен сист спо рамк делов программ миров чемпионат, 
Ажгиревич А.И.,"ОООР ""Союз Машиностроителей России""",Крайчинская С.Б.,Вопросы повышения квалификации,участ заочн заседан совет профквалификац машиностроен 8 апр 2019,повестк заседан такж материал нем располож ссылк : https : //yadi.sk/d/ZSQAeaUP9dw-rA
Мишин Д.В.,"ФГОБУ ВО ""Поволжский государственный университет телекоммуникаций и информатики""",Антонов Ю.В.,Административный директор,-об участ мч казан, 
Цуров М.Т.,ГБПОУ Северо-Кавказский топливно-энергетический коолледж им. Т.Х. Цурова,Уразов Р.Н.,Генеральный директор,отказ рт участ ос компетенц туризм, 
Кудряшов С.В.,"АПОУ Чувашской области ""Межрегиональный центр компетенций - Чебоксарский электромеханический колледж""",Уразов Р.Н.,Генеральный директор,участ заочн заседан наблюдательн совет мцк-чэмк минобразован чуваш вопрос реорганизац учрежден 11 апр 2019, 
Сагитов С. Т.,"ФГБОУ ВО ""Башкирский государственный педагогический университет им.М.Акмуллы""",Тымчиков А.Ю.,Сертификация экспертов WS,согласован дат проведен вузовск чемпионат, 
Бойченко С.А.,Департамент образования ЯНАО,Глушко Д.Е.,Специалист по региональным чемпионатам,участ проект билет будущ 2019 г, 
Храпова Л.А.,"Департамент образования, культуры и спорта Ненецкого автономного округа",Глушко Д.Е.,Специалист по региональным чемпионатам,участ проект билет будущ 2019 г, 
Вовченко А.В.,51. Министерство труда и социальной защиты Российской Федерации,Уразов Р.Н.,Генеральный директор,предоставлен заявк работодател уполномочен орга субъект росс соответств фз правов положен иностра гражда росс, 
Борисов Д.В.,Департамент Смоленской области по образованию и науке,Глушко Д.Е.,Специалист по региональным чемпионатам,корректировк перечн компетенц демонстрацион экзам стандарт ворлдскиллс росс 2019 год, 
Воронков А.Г.,Министерство образования Пензенской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ проект билет будущ 2019 г, 
Запруднова Е.В,Департамент образования Владимирской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ проект билет будущ 2019 г, 
Без автора,Управление Президента Российской Федерации по научно-образовательной политике,Уразов Р.Н.,Генеральный директор,участ заседан рабоч групп совершенствован подготовк научно-педагогическ кадр аспирантур 15 апр 2019 16.00 москв,поступ эл. адрес prm_Bilenkina @ gov.ru 20.03
Саввинов Т.Г.,Государственное автономное профессиональное образовательное учреждение Республики Саха,Глушко Д.Е.,Специалист по региональным чемпионатам,замен участник участ ос, 
