Автор,Место работы автора,Адресат,Специализация адресата,"Краткое
содержание",Примечание
Антонова С.В.,АО «Интерфакс»,Уразов Р.Н.,Генеральный директор,"Вх - О возможности использования сетевого издания ""Информационный ресурс СПАРК"" в работе Союза",
Картошкин С.А.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,"Вх - Об участии в совещании по вопросу доработки ФЭО для предоставления субсидии на реализацию проекта ""Билет в будущее"", 9 апр 2019 г",
Цивилев С.Е.,Администрация Кемеровской области,Уразов Р.Н.,Генеральный директор,"Вх - О командировании Саликовой К. и Глушко Д. для участия в заседании оргкомитета по вопросу проведения ФНЧ в Кемеровской области, 22 апр 2019",
Волков Г.А.,Министерство транспорта Российской Федерации,Иванюк Л.А.,Административный директор,Вх - Об участии в Чемпионате мира по профессиональному мастерству по стандартам «Ворлдскиллс» (WorldSkills Kazan 2019),
Атанов И.В.,Ставропольский государственный аграрный университет,Уразов Р.Н.,Генеральный директор,"Вх - Об участии в церемонии открытия Вузовского чемпионата, 15 апр 2019 в 14.00 (г. Ставрополь)",
Островский А.В.,Губернатор Смоленской области,Миронова С.В.,Административный директор,Вх - Об участии в Чемпионате мира по профессиональному мастерству по стандартам «Ворлдскиллс» (WorldSkills Kazan 2019),
Петрова С.В.,Министерство труда и социальной защиты РФ,Уразов Р.Н.,Генеральный директор,"Вх - О направлении протокола ""О ходе реализации национального проекта ""Демография"" в субъектах России",
Соппа И.В.,"ФГБОУ ВО ""Московский политехнический университет""",Тымчиков А.Ю.,Сертификация экспертов WS,Вх - О согласовании дат проведения Вузовского чемпионата,
Бурганов Р.Т.,Министерство образования и науки Республики Татарстан,Уразов Р.Н.,Генеральный директор,О Национальном чемпионате 2019,
Черноскутова И.А.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,Вх - О проведении заседания министров образования государств-участников Международной программмы укрепления систем СПО в рамках деловой программы Мирового чемпионата,
Ажгиревич А.И.,"ОООР ""Союз Машиностроителей России""",Крайчинская С.Б.,Вопросы повышения квалификации,"Вх - Об участии в заочном заседании Совета по профквалификациям в машиностроение, 8 апр 2019","Повестка заседания, а также материалы к нему, расположены по ссылке:
https://yadi.sk/d/ZSQAeaUP9dw-rA"
Мишин Д.В.,"ФГОБУ ВО ""Поволжский государственный университет телекоммуникаций и информатики""",Антонов Ю.В.,Административный директор,Вх -Об участии в МЧ Казань,
